Run,Timestamp_Init,Timestamp_Final,X-Net,Y-Net,Z-Net
1,1170418,1205218,0.12690657377243048,0.28961968421936035,0.0061709357250947
2,1525869,1560569,-0.745755672454834,-0.5920143127441406,0.0023885387199698
3,9199651,9234451,-80.69833892583847,83.46574294567108,0.0044933972530998
4,9382368,9417068,0.2929550707340241,0.37678277492523193,0.0002384491381235001
5,9538195,9572895,0.4810400251299142,0.22697961330413796,0.0009616033057682
6,9711060,9745760,-0.394717276096344,1.3269394785165787,0.0035150376788807003
7,9858968,9893668,-1.9371115863323212,-0.07181692123413086,0.0028016595024383003
8,10097647,10132347,0.041201502084732056,0.4939914345741272,0.00021616858430200005
9,10316700,10351400,0.3748898953199387,0.02880227565765381,0.007632782799191701
10,10452268,10486968,0.12375918030738836,0.3409060835838318,0.0038285153277684003
11,10634201,10668901,-2.0040639340877533,1.420102834701538,0.0003900784649886
12,10753812,10788512,0.3323345482349396,0.9102262109518053,0.0021522029128391
13,10902568,10937268,0.5065952762961388,0.8056168854236603,0.0043220620136707995
14,32195,66895,0.5475530624389648,-0.31590855121612543,6.402033614000003e-05
15,215753,250453,-0.09022641181945806,-0.3940374627709389,0.0021097243879922
16,348932,383632,0.5203989148139954,-0.43405148386955267,0.0027889044140466
17,491342,526042,-0.24836543202400208,-0.7070017904043198,0.003915252469596392
18,610968,645668,-0.4181097149848938,0.02843385934829712,0.0020817469776376
19,810088,844788,-0.3794567286968231,0.3109397292137146,0.0013271014904603
20,977695,1012395,-0.09400039911270136,-0.0799940824508667,0.0037923928503004333
21,1113073,1147773,0.6763968914747238,-0.15263783931732178,0.00223802401887947
22,1254118,1288818,0.45713816955685616,-0.6077928245067596,0.004468112791073478
23,1447693,1482393,-0.3705165386199951,-0.8591568879783154,0.00450400127738248
24,1598269,1632969,0.6046099960803986,-0.5388054847717284,0.0011481839319459
25,1807228,1841928,-0.21946361660957342,0.06579500436782837,0.0035922309471061
