timestamp,mx,my,mz,multi_ranger_x_drift,multi_ranger_y_drift,multi_ranger_z_drift,multi_ranger_x_drift_pos_exceeded,multi_ranger_x_drift_pos_trigger,multi_ranger_x_drift_neg_exceeded,multi_ranger_x_drift_neg_trigger,multi_ranger_y_drift_pos_exceeded,multi_ranger_y_drift_pos_trigger,multi_ranger_y_drift_neg_exceeded,multi_ranger_y_drift_neg_trigger,multi_ranger_z_drift_pos_exceeded,multi_ranger_z_drift_pos_trigger,multi_ranger_z_drift_neg_exceeded,multi_ranger_z_drift_neg_trigger
29599,-0.04,0.13,0.14,-0.04,0.13,0.0,0,,0,,0,,0,,0,,0,
29699,-0.05,0.12,0.15,-0.05,0.12,0.0,0,,0,,0,,0,,0,,0,
29799,-0.04,0.12,0.16,-0.04,0.12,2.7755575615628914e-17,0,,0,,0,,0,,0,,0,
29899,-0.04,0.13,0.17,-0.04,0.13,0.0,0,,0,,0,,0,,0,,0,
29999,-0.04,0.14,0.18,-0.04,0.14,-2.7755575615628914e-17,0,,0,,0,,0,,0,,0,
30299,-0.03,0.13,0.26,-0.03,0.13,0.0,0,,0,,0,,0,,0,,0,
30399,-0.02,0.13,0.28,-0.02,0.13,0.0,0,,0,,0,,0,,0,,0,
30499,-0.02,0.11,0.32,-0.02,0.11,5.551115123125783e-17,0,,0,,0,,0,,0,,0,
30599,-0.03,0.09,0.35,-0.03,0.09,5.551115123125783e-17,0,,0,,0,,0,,0,,0,
30699,-0.03,0.1,0.38,-0.03,0.1,0.0,0,,0,,0,,0,,0,,0,
30799,-0.03,0.09,0.41,-0.03,0.09,0.0,0,,0,,0,,0,,0,,0,
30899,-0.03,0.08,0.44,-0.03,0.08,0.0,0,,0,,0,,0,,0,,0,
30999,-0.03,0.08,0.47,-0.03,0.08,0.0,0,,0,,0,,0,,0,,0,
31099,-0.03,0.07,0.49,-0.03,0.07,0.0,0,,0,,0,,0,,0,,0,
31299,-0.03,0.07,0.55,-0.03,0.07,0.0,0,,0,,0,,0,,0,,0,
31399,-0.04,0.06,0.58,-0.04,0.06,1.1102230246251565e-16,0,,0,,0,,0,,0,,0,
31499,-0.04,0.05,0.6,-0.04,0.05,0.0,0,,0,,0,,0,,0,,0,
31599,-0.03,0.04,0.62,-0.03,0.04,0.0,0,,0,,0,,0,,0,,0,
31799,-0.04,0.03,0.68,-0.04,0.03,0.0,0,,0,,0,,0,,0,,0,
32099,-0.03,0.02,0.75,-0.03,0.02,0.0,0,,0,,0,,0,,0,,0,
32199,-0.02,0.0,0.78,-0.02,0.0,0.0,0,,0,,0,,0,,0,,0,
32299,-0.02,0.01,0.8,-0.02,0.01,-1.1102230246251565e-16,0,,0,,0,,0,,0,,0,
32999,-0.01,0.0,0.96,-0.01,0.0,0.0,0,,0,,0,,0,,0,,0,
33099,-0.01,-0.0,0.98,-0.01,-0.0,0.0,0,,0,,0,,0,,0,,0,
33199,-0.01,-0.01,1.0,-0.01,-0.01,0.0,0,,0,,0,,0,,0,,0,
33299,-0.01,-0.0,1.03,-0.01,-0.0,0.0,0,,0,,0,,0,,0,,0,
