Run,Timestamp_Init,Timestamp_Final,X-Net,Y-Net,Z-Net
1,112157,146857,4.799147665500641,0.031203806400299183,0.0063355732709169995
2,289084,323784,-1.2352309823036194,-0.8776182809378952,0.0091429854510352
3,465467,500167,-0.06859904527664185,-0.01500701904296875,0.0037490506656468
4,619785,654485,0.9130389988422396,1.070397436618805,0.0033665681257843997
5,824523,859223,-0.1762687861919403,-0.07844012975692749,0.0079291948932224
6,1033717,1068417,-5.712382793426514,1.9755282402038574,0.007803447078913399
7,1170857,1205557,-0.5101286172866821,-0.7480530589818954,0.0071493631694466
8,1281711,1316411,-0.05330066382884982,-0.6595224142074585,0.0039430088363588
9,1528260,1562960,-0.1409565880894661,-0.8048393130302429,0.0051399214426055
10,1663280,1697980,-0.1775270253419876,0.007865369319915994,0.0057467280275887
11,1840585,1875285,-0.8728629350662231,-0.6223271489143373,0.0059949088608846
12,2004888,2039588,-7.062101632356644,3.3473775386810303,0.0050347948999843
13,2164135,2198835,-0.020119458436965942,-0.7698226273059845,0.0092411640944192
14,2311856,2346557,-0.6680080592632294,0.13811731338500977,0.0080710172478575
15,1111328,1146028,-2.1619961857795715,-3.5913172960281368,0.0049019154248526
16,3273010,3307710,0.6214737296104431,-1.1656655073165894,0.002785661490634
17,3421059,3455759,0.20164033770561224,-1.4609802290797234,0.004411279311170801
18,3528028,3562728,0.7480109632015228,-0.7711910605430603,0.0024826575536281
19,3644108,3678808,-0.3342042565345764,-0.712576687335968,0.0079315799521282
20,3874554,3909254,3.0793372094631195,-1.741398960351944,0.0097992535156663
21,3983883,4018583,-0.082943856716156,0.35919463634490967,0.0041649227641755
22,4119575,4154275,0.05244028568267822,-1.036508321762085,0.0030900234123692
23,4252572,4287272,0.5431708693504333,0.49453747272491433,0.0048738702316769
24,4401016,4435716,0.3735032193362712,-0.006964206695556641,0.006791634252294901
25,4508181,4542881,0.0710687935352326,-0.6560834646224976,0.0021601298067254002
